userId,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
1,1454,49013,1310,6578,82459,30812,389,3851,5391,101
2,5742,54999,2720,5688,45732,69720,101088,151557,92234,141513
3,117849,87520,8371,4902,2537,79357,5060,3120,7235,2023
4,1770,53894,6579,1015,9008,95088,55854,48150,55768,73017
5,108090,7317,101070,60894,118814,1888,8183,5,78264,42734
6,40148,26791,706,9004,3701,1997,39381,587,86781,62344
7,5321,2572,84512,2401,7171,1018,51357,86279,92198,58627
8,4064,103543,1953,33838,100390,5574,4326,141718,3444,1593
9,1224,99145,42176,2135,73822,1208,53322,4966,121342,4157
10,4128,3423,25952,31223,2757,8827,78116,172887,4452,3873
11,27074,109578,25841,18,5293,4463,1112,60069,830,2985
12,92938,2385,47099,82667,184721,7789,2060,1594,2672,66544
13,165139,8369,7698,118888,4848,91622,7344,116044,6188,44849
14,8492,7048,7812,7976,1018,8869,4509,8270,5338,3746
15,8042,2146,60397,51935,4802,27555,45221,26095,29,2795
16,86487,851,163645,132488,115231,1191,1381,918,26542,166024
17,4359,60291,71282,70286,169982,83976,134853,522,84240,54734
18,71438,2257,1583,915,3857,7894,4518,113394,135815,62008
19,37857,1217,7,55112,6122,140267,1904,6692,91261,5278
20,108,167854,1907,75341,2374,191,4772,8364,170897,7073
21,4630,79895,5826,5428,80727,3159,166024,68791,1840,89774
22,60832,150,7248,6412,5550,62999,3046,98799,172229,100487
23,7297,95624,2794,605,92234,7024,71970,8093,941,73160
24,2112,6116,90384,70545,8142,6286,5282,165551,118930,468
25,7257,8844,2116,4142,615,109576,134214,348,3958,3250
26,6116,80906,4584,5628,2622,52973,52715,2231,117533,106696
27,40278,85401,48214,4603,85295,5590,93766,6533,2457,3086
28,145491,59131,32139,5246,93297,105246,142372,2018,6718,1476
29,3723,52287,3076,39869,69122,5459,122922,4864,5397,31545
30,133782,116207,8530,27604,2227,4690,142456,59615,32139,92046
31,33493,3549,46965,5880,139640,5632,4015,1357,1654,2182
32,2969,94160,937,151763,263,8772,4008,5146,64993,105835
33,40578,3241,37857,5736,113345,4499,172229,6542,159093,430
34,51931,170875,1409,2324,95145,3654,27683,149902,736,4446
35,3178,42943,5284,3529,60516,112623,6453,2456,3285,4531
36,5435,867,26567,5820,26172,7059,851,167634,72424,4818
37,95135,55721,3695,2495,8577,48304,6951,986,79134,183959
38,210,1998,141836,4321,6542,160571,2147,645,381,4129
39,51931,160400,5477,1312,3417,57532,48142,8724,136540,1981
40,33201,57536,5820,7265,2618,1831,71970,550,188833,93139
41,2574,4231,46347,634,3941,160646,6706,3214,33421,183301
42,52784,166534,91628,2782,33880,113394,167380,51925,84637,4988
43,171251,71135,59126,3403,4138,129,42015,193571,631,1857
44,2017,87529,61350,5999,6887,27899,66544,8665,71156,6699
45,27822,136355,1475,2295,5329,53435,2549,51562,2793,66665
46,170813,6509,6241,92665,111663,2919,63,1132,2077,5963
